Eseguito con opzioni -h -e hENe ./0/altro_1 ./0/dir_2 ./0/altro_1/3 ./0/altro_1/31 ./0/altro_1/dir_101 ./0/dir_2/6/xs8d3ysadaouydaajba40fdk8aj1nuxadoaufa.xagog.SpPKP ./0/dir_2/8/dir_9/ahs4aq37sfaxgararaaaddwga5bwaaaaagaayakadia.aaa ./0/dir_2/6/66addaaaakzkmnqdanaafhakad4afadkyd6ag1zd.ahsau ./0/altro_1/3/aadaajd6aa1n5gxafn.xagog.SpPKP ./0/altro_1/dir_10/11/arj5daxajaa4.rfafaaa2ddfakqagdqrrk0kzaagahuajds.xagog ./0/dir_2/61 ./0/dir_2/6/7/oa4faaaafndard8f8saxksa.ahsau ./0/altro_1/3/gz9y0akqanaxqaamhya4aaa9aa1a3qqsadu09mfnaba6as.xagog.SpPKP ./0/altro_1/3/o9afa9sg17hhaga5s7jaw9rg5ijadjaahgnaaaawsah.uraaas.aaa ./0/altro_1/dir_10/araamfa7adqywar.aaa.log ./0/dir_2/6/fd2suaahaaayn6aadsy.iu.xagog ./0/altro_1/3/awaaa0adawam4ffaghhai4aahmaxuamaw.n5ka2 ./0/dir_2/8/dir_9/altro_13/jkqx89gsaf.xagog.SpPKP ./0/altro_1/dir_10/11/altro_121
Filename, cc5gFsystime, cc5gFusertime, cc5gFeltime, cc5gFmem,131Ugsystime,131Ugusertime,131Ugeltime,131Ugmem,Akn9AD7He9 L44kImsystime,Akn9AD7He9 L44kImusertime,Akn9AD7He9 L44kImeltime,Akn9AD7He9 L44kImmem,EKuNuSlkYaSXvlU8O39ysystime,EKuNuSlkYaSXvlU8O39yusertime,EKuNuSlkYaSXvlU8O39yeltime,EKuNuSlkYaSXvlU8O39ymem,EY3FZp7Xc5FOYsystime,EY3FZp7Xc5FOYusertime,EY3FZp7Xc5FOYeltime,EY3FZp7Xc5FOYmem,HBx3a3yA3xx6rixfPsystime,HBx3a3yA3xx6rixfPusertime,HBx3a3yA3xx6rixfPeltime,HBx3a3yA3xx6rixfPmem,PneGNDCmPybi4T7jsystime,PneGNDCmPybi4T7jusertime,PneGNDCmPybi4T7jeltime,PneGNDCmPybi4T7jmem,PqkjriF4systime,PqkjriF4usertime,PqkjriF4eltime,PqkjriF4mem,SmwWtzxdiUvDAYvvbYsystime,SmwWtzxdiUvDAYvvbYusertime,SmwWtzxdiUvDAYvvbYeltime,SmwWtzxdiUvDAYvvbYmem,T1wgZyHp3SqYLQey3pYHsystime,T1wgZyHp3SqYLQey3pYHusertime,T1wgZyHp3SqYLQey3pYHeltime,T1wgZyHp3SqYLQey3pYHmem,WNVN2systime,WNVN2usertime,WNVN2eltime,WNVN2mem,YxoyoweY0jkLdVAGlKkrsystime,YxoyoweY0jkLdVAGlKkrusertime,YxoyoweY0jkLdVAGlKkreltime,YxoyoweY0jkLdVAGlKkrmem,hTnNlSnfju5FCLsystime,hTnNlSnfju5FCLusertime,hTnNlSnfju5FCLeltime,hTnNlSnfju5FCLmem,oOVjFjWCwmn4ae09VnvYsystime,oOVjFjWCwmn4ae09VnvYusertime,oOVjFjWCwmn4ae09VnvYeltime,oOVjFjWCwmn4ae09VnvYmem,peuAt93E5csystime,peuAt93E5cusertime,peuAt93E5celtime,peuAt93E5cmem,rvfO jnMtnvaV5n3bPUEsystime,rvfO jnMtnvaV5n3bPUEusertime,rvfO jnMtnvaV5n3bPUEeltime,rvfO jnMtnvaV5n3bPUEmem,snrYWI7Y49yKxsomjTOsystime,snrYWI7Y49yKxsomjTOusertime,snrYWI7Y49yKxsomjTOeltime,snrYWI7Y49yKxsomjTOmem,uWtAi930RvSUCLBtWsystime,uWtAi930RvSUCLBtWusertime,uWtAi930RvSUCLBtWeltime,uWtAi930RvSUCLBtWmem,zKVi8iDsystime,zKVi8iDusertime,zKVi8iDeltime,zKVi8iDmem,systimetot,usertimetot,eltimetot,memhigh
./0/dir_2/TTkFHp6ZkA2IXsDTvtVLjgIkgKm02MJ7lUIdNdprF1XMG.hENe,,,,,,,,,11:51:59,04:30.85849,20-00:55:31,866398,,,,,02:27:31,02:27:31,14:59:37,200191,,,,,,,,,,,,,16-02:46:25,16-02:46:25,23:29.756174,511070,43:02.729885,23:29:15,23:29:15,542097,,,,,10-23:51:50,13:52:30,13:52:30,661108,,,,,33:36.272221,05:13.100216,07:17:21,984286,,,,,16:41:33,13:52:30,08:00.367894,809504,,,,,,,,,,,,,2.459e+06,1.586e+06,1.948e+06,984286
./0/altro_1/3/5/uppvfAcZDyBy0YSAQZrmIIs8rPwP6sXYPjodTAhitLw.hENe,,,,,,,,,,,,,,,,,14:40:57,12-03:17:59,13:39.308223,901735,,,,,12-03:17:59,14:40:57,13:39.308223,175187,,,,,16:33.242239,13:08:10,43:02.901561,295185,,,,,15-20:40:16,16:33.242239,14:17:18,62949,23:43:52,02:44.189040,13-03:42:16,399359,13:39.308223,18:41:34,13:55:59,843566,,,,,,,,,12-06:25:39,11-17:12:34,06:35:51,566144,,,,,,,,,,,,,3.619e+06,2.230e+06,1.266e+06,901735
./0/altro_1/3/ojiwqAqtVt2sxgcrFgRsqU0pyJQlii3SdcMuU30eJRH.hENe,6-17:58:48,11-07:01:36,2-09:52:11,12444,,,,,07:18:50,22:12:46,01:28:36,794663,11-13:23:53,16-07:27:04,13:28:12,129807,3-12:49:37,09:12:28,01:28:36,506718,,,,,,,,,16-07:27:04,20:01:55,07:18:50,753376,,,,,,,,,54:30.251706,43:45.527294,15-12:55:36,32424,,,,,,,,,,,,,16-21:08:27,07:18:50,48:57.626421,985648,,,,,,,,,,,,,,,,,4.784e+06,2.599e+06,1.639e+06,985648
./0/altro_1/3/sUYx.CjVMEHId0OgiCE9VVF1z142Ew7RgCHvFfC13u7.hENe,,,,,19:46.721443,04:44:04,13-13:40:40,191775,,,,,13-13:40:40,20-16:35:48,04:22:22,114719,,,,,,,,,14:14:55,21:51:41,18-02:41:23,592803,5-17:28:28,44:02.674526,00:57.365983,288021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-10:12:56,10:33:48,57:34.889888,123384,2.448e+06,1.924e+06,2.757e+06,592803
./0/altro_1/l.dq.PhKoDezPF.Kl.PJN8F3eju45pJq5HCY4u.hENe,,,,,25:49.821895,22:30.430286,6-03:28:08,397774,,,,,,,,,,,,,,,,,,,,,15:11.241036,22:30.430286,19:47:25,481618,21:52:51,44:57.106152,10-02:47:12,171339,,,,,,,,,,,,,,,,,14:50:57,20:49:42,9-10:59:42,403244,,,,,,,,,,,,,02:52:26,2-15:39:50,42:17.542470,326136,,,,,1.450e+05,3.096e+05,2.296e+06,481618
./0/altro_1/gPBfpmXKmsGrUp0pEUReDFRYj4uwFi.hENe,16-03:06:17,02:14.744250,14:38.420598,266398,22:48:18,01:41:20,02:12:22,703788,,,,,2-14:17:57,13-09:52:10,55:00.613310,226725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55:00.613310,14:26:22,00:59:33,570893,,,,,,,,,,,,,,,,,1.703e+06,1.217e+06,1.569e+04,703788
./0/altro_1/3/wcoXDtD4sBgSzseERvDfDPMc2AZ0sMu7.hENe,6-22:38:47,2-23:41:16,19:21:13,543179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38:30.848379,2-22:15:16,19:21:13,388776,19-12:31:51,2-22:15:16,54:51.426351,423382,,,,,,,,,,,,,,,,,,,,,2.289e+06,7.639e+05,1.426e+05,543179
./0/dir_2/altro_4/fRpATSFkrDdKPa2Ss1RKZ.QrOOXsFSPuHNHbG.aukV3GhkVv52.hENe,,,,,,,,,,,,,,,,,,,,,08:13:12,2-21:02:40,19:42:40,89065,,,,,20:28:33,20:28:33,20:28:33,888724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.033e+05,3.223e+05,1.447e+05,888724
./0/altro_1/3/5/diAtw64JVtgGg0ACQf.hENe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55:36.227952,03:56:25,18:44:35,111544,,,,,,,,,37:13.764657,16:23:24,02:32:10,789131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.570e+03,7.319e+04,7.660e+04,789131
./0/dir_2/oC7wfepKzMIDPN.Tq6xktct.hENe,,,,,,,,,16:57:10,14:08:29,10-03:15:28,737107,,,,,,,,,,,,,13-14:46:00,12:40:50,20:49.948291,317325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.237e+06,9.656e+04,8.770e+05,737107
./0/altro_1/dir_10/PYNlx4RYAjN.hENe,19-22:25:20,00:26.785299,44:12.632295,473100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-06:16:33,06:19.556146,19-15:42:24,972893,,,,,,,,,3.473e+06,4.063e+02,1.701e+06,972893
./0/altro_1/3/5/B8VVWWTjQIadkFJaCEd1Av1Yp9vkRyNKyH03.hENe,,,,,,,,,,,,,16:18:29,13:32:15,04:50:58,250216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.871e+04,4.874e+04,1.746e+04,250216
./0/dir_2/vJ1Cf42j6xwWeIc6uQMLGMIxnVw6PASzj1JFxOFg.hENe,,,,,,,,,,,,,13:18:57,17-13:34:06,06:05:26,724902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.794e+04,1.518e+06,2.193e+04,724902
TOTALS,4.299e+06,1.234e+06,2.815e+05,543179,8.483e+04,2.447e+04,1.711e+06,703788,1.301e+05,1.311e+05,2.612e+06,866398,2.502e+06,5.922e+06,1.069e+05,724902,3.671e+05,1.091e+06,6.011e+04,901735,2.959e+04,2.486e+05,7.096e+04,89065,2.276e+06,1.772e+05,1.567e+06,592803,1.979e+06,1.498e+05,1.713e+05,888724,1.475e+06,1.457e+06,9.455e+05,511070,2.583e+03,8.456e+04,8.456e+04,542097,1.374e+06,3.619e+03,1.394e+06,62949,1.038e+06,1.091e+05,1.196e+06,789131,3.130e+03,3.202e+05,1.198e+05,843566,1.742e+06,3.282e+05,8.467e+05,984286,1.462e+06,7.831e+04,6.511e+03,985648,1.120e+06,1.062e+06,2.423e+04,809504,1.751e+06,3.796e+02,1.698e+06,972893,1.035e+04,2.292e+05,2.538e+03,326136,7.280e+05,3.803e+04,3.455e+03,123384
