Filename, 9v0wZvvPsystime, 9v0wZvvPusertime, 9v0wZvvPeltime, 9v0wZvvPmem,2n Rqsystime,2n Rqusertime,2n Rqeltime,2n Rqmem,4ivLFhIsh5tFpfJLsystime,4ivLFhIsh5tFpfJLusertime,4ivLFhIsh5tFpfJLeltime,4ivLFhIsh5tFpfJLmem,6GFecyaLxVw9systime,6GFecyaLxVw9usertime,6GFecyaLxVw9eltime,6GFecyaLxVw9mem,8AMaMCbmbQsystime,8AMaMCbmbQusertime,8AMaMCbmbQeltime,8AMaMCbmbQmem,BDcmgsystime,BDcmgusertime,BDcmgeltime,BDcmgmem,BmDOkgkJI usystime,BmDOkgkJI uusertime,BmDOkgkJI ueltime,BmDOkgkJI umem,CTWy17YlO3systime,CTWy17YlO3usertime,CTWy17YlO3eltime,CTWy17YlO3mem,GfzxWFIsystime,GfzxWFIusertime,GfzxWFIeltime,GfzxWFImem,H7lqrKGSkdGA5SbHc3Hgsystime,H7lqrKGSkdGA5SbHc3Hgusertime,H7lqrKGSkdGA5SbHc3Hgeltime,H7lqrKGSkdGA5SbHc3Hgmem,LfwK3ND5Z2systime,LfwK3ND5Z2usertime,LfwK3ND5Z2eltime,LfwK3ND5Z2mem,Md8Ap0eVr1n8IR3systime,Md8Ap0eVr1n8IR3usertime,Md8Ap0eVr1n8IR3eltime,Md8Ap0eVr1n8IR3mem,Niu9gccSVZaEmHisystime,Niu9gccSVZaEmHiusertime,Niu9gccSVZaEmHieltime,Niu9gccSVZaEmHimem,WR0Pyaasystime,WR0Pyaausertime,WR0Pyaaeltime,WR0Pyaamem,Yzhy8Exesystime,Yzhy8Exeusertime,Yzhy8Exeeltime,Yzhy8Exemem,ZeH5OkvAOUt1RHumosystime,ZeH5OkvAOUt1RHumousertime,ZeH5OkvAOUt1RHumoeltime,ZeH5OkvAOUt1RHumomem,dc4VHFbj2A TiXbseIWNsystime,dc4VHFbj2A TiXbseIWNusertime,dc4VHFbj2A TiXbseIWNeltime,dc4VHFbj2A TiXbseIWNmem,ewDGkDdZHkJ7systime,ewDGkDdZHkJ7usertime,ewDGkDdZHkJ7eltime,ewDGkDdZHkJ7mem,systimetot,usertimetot,eltimetot,memhigh
./0/1/dir_6/D5LndvzKddS5xOOxRDBpTpXasrxrLaL6Tv.ga8,,,,,5-02:21:29,12:15:50,14:29:37,592038,,,,,,,,,25:35.418885,21:18:52,1-04:05:25,939319,,,,,,,,,,,,,18-19:49:10,17:05:19,1-04:05:25,988496,,,,,12:14:12,13:29:50,6-17:08:19,869169,11-15:49:16,12-19:50:27,18-19:49:10,892662,,,,,21:36:17,37:18.37080,06:04.888371,839658,1-18:12:43,02:57.409250,04:39:16,825329,,,,,,,,,,,,,3.350e+06,1.342e+06,2.478e+06,988496
./0/dir_4/5/13/WlLUg.RV13iD77l3mW2.ga8,,,,,,,,,,,,,,,,,40:19.361824,16-00:31:01,38:31.13187,195322,8-06:25:42,08:33:38,10:59:59,78105,,,,,,,,,10:59:59,13:55:44,11-11:49:04,770212,,,,,29:15.110980,40:19.361824,14:41:27,111797,,,,,,,,,,,,,,,,,,,,,,,,,05:15:55,8-06:25:42,13-08:10:24,520925,7.771e+05,2.182e+06,2.240e+06,770212
./0/1/dir_2/altro_10/NTKnxuuCw4v.c7yg8ugvl7A.ga8,19-00:46:29,18:14:48,23:36:09,658892,,,,,,,,,,,,,,,,,,,,,17:53:27,36:14.684630,11-10:58:59,345584,,,,,10-12:19:11,17:53:27,55:58.508930,642584,,,,,,,,,,,,,,,,,,,,,,,,,11:52:42,23:36:09,14-03:00:36,675975,,,,,,,,,2.660e+06,2.172e+05,2.299e+06,675975
./0/1/dir_2/altro_10/VCWC5qMIqyY6cAMggJ6sPRXKoQ5QOMxn.D2S4j059sfwQe.ga8,,,,,,,,,23:49:51,00:31:56,10:35:46,808471,,,,,20:14:28,00:31:56,19:57:10,655906,,,,,,,,,,,,,,,,,,,,,,,,,14:37:03,8-20:47:01,12-19:56:57,57672,,,,,,,,,,,,,,,,,23:08.793090,14:37:03,48:00.735305,873165,,,,,2.127e+05,8.225e+05,1.221e+06,873165
./0/3/ueGQpUibmU.ga8,21:26:18,20-07:45:15,19:21:48,146370,,,,,,,,,,,,,,,,,,,,,48:48.59073,31:01.133939,21:50:54,450455,,,,,,,,,8-07:21:01,14:46:07,23:25:54,526441,,,,,,,,,10:20:25,06:06.9593,21:50:54,832019,,,,,,,,,,,,,,,,,,,,,8.350e+05,1.811e+06,3.114e+05,832019
./0/dir_4/5/13/Y9HZpmMFowYiNLuKWK1ALyReO3wAZ.ga8,06:05:54,20:11.771785,14:03:05,540315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-10:52:03,14-10:54:49,26:05.119455,853962,,,,,16-15:35:32,57:42.289198,22:10:58,877349,1.932e+06,1.254e+06,1.320e+05,877349
./0/dir_4/5/13/JISC7CpABE99jyn0p6ynciwHQVn.ga8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:28:37,16:57:40,57:57.359293,900347,,,,,,,,,,,,,,,,,,,,,21:43:16,07:32:01,3-16:09:00,756624,,,,,,,,,,,,,45:56.625241,21:28:15,21:41:22,505905,1.439e+05,1.655e+05,3.989e+05,900347
./0/1/dir_2/altro_10/nqCdHApDGNF3HJ6PuA.ga8,14:48:32,16:54:37,21:26:36,728993,,,,,,,,,50:47.775169,3-22:56:06,18:06.821356,506697,,,,,,,,,,,,,17-20:08:43,16:42:35,15-04:20:43,835290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.598e+06,4.628e+05,1.390e+06,835290
./0/1/dir_2/MxxZqI1eVSeONO.5wBPM91167awamg7AD2U2EQ.ga8,,,,,,,,,,,,,,,,,,,,,13-19:07:46,13:11:44,01:49.824020,210897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.192e+06,4.750e+04,1.098e+02,210897
./0/1/scUXaZ4VcIMhXx.ga8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:39:29,21:53:50,7-20:09:33,257795,,,,,,,,,,,,,,,,,8.517e+04,7.883e+04,6.774e+05,257795
