Eseguito con opzioni -h ./0/11 ./0/1/altro_2/4/ ./0/1/altro_2/dir_5/ ./0/1/dir_7 ./0/1/dir_7/8 ./0/1/dir_7/9/ ./0/altro_11/ ./0/altro_11/14/ ./0/1/altro_2/4/altro_12 ./0/1/altro_2/41 ./0/1/altro_2/4/au3makdhs.2a2gg6h.d.jfsaf ./0/1/altro_2/6/yanhb4afojodaaag0bu66aazn7oaanaardja.adas ./0/1/dir_71 ./0/1/dir_7/.ahay8hxaakj8yfaaayda2jh0ggjakzaasaaxaaaakbjf95a.adas.gGyW ./0/1/altro_2/6/.axarafaa.5.z2z.R2R ./0/1/altro_2/dir_5/ayh.f6wgajafaagaaaaabxa4daaaaaxja1a50aaaxarganb.aaa ./0/altro_11/sraw8ygafaaaa7z.adkx8ksdh.aaa.log ./0/1/altro_2/6/nbq9raax00ouddj4z0gar7agiaasj3asr8onagaxgjg7au.iuk.JaF
Filename,2RmcWxgsystime,2RmcWxgusertime,2RmcWxgeltime,2RmcWxgmem,5Q1uZfNx7Uj19Tcpsystime,5Q1uZfNx7Uj19Tcpusertime,5Q1uZfNx7Uj19Tcpeltime,5Q1uZfNx7Uj19Tcpmem,5kZM74BZEPBfWqVBrjsystime,5kZM74BZEPBfWqVBrjusertime,5kZM74BZEPBfWqVBrjeltime,5kZM74BZEPBfWqVBrjmem,6fF7srEXMN8aniZwKsystime,6fF7srEXMN8aniZwKusertime,6fF7srEXMN8aniZwKeltime,6fF7srEXMN8aniZwKmem,7YnHxKsystime,7YnHxKusertime,7YnHxKeltime,7YnHxKmem,C8Wn37lOAAsystime,C8Wn37lOAAusertime,C8Wn37lOAAeltime,C8Wn37lOAAmem,GvX7NEqsPKuD0iMVUfGsystime,GvX7NEqsPKuD0iMVUfGusertime,GvX7NEqsPKuD0iMVUfGeltime,GvX7NEqsPKuD0iMVUfGmem,JAiwZsystime,JAiwZusertime,JAiwZeltime,JAiwZmem,JToVIko01hMUaonsystime,JToVIko01hMUaonusertime,JToVIko01hMUaoneltime,JToVIko01hMUaonmem,KGy34systime,KGy34usertime,KGy34eltime,KGy34mem,LFAad02systime,LFAad02usertime,LFAad02eltime,LFAad02mem,OjjAgOObdH2systime,OjjAgOObdH2usertime,OjjAgOObdH2eltime,OjjAgOObdH2mem,Q8LqWu2rPlPlXrsystime,Q8LqWu2rPlPlXrusertime,Q8LqWu2rPlPlXreltime,Q8LqWu2rPlPlXrmem,TxLTWvXOlasystime,TxLTWvXOlausertime,TxLTWvXOlaeltime,TxLTWvXOlamem,W9U1 csd49wSA02Asystime,W9U1 csd49wSA02Ausertime,W9U1 csd49wSA02Aeltime,W9U1 csd49wSA02Amem,YbARaaXcuTN2CtPYOsystime,YbARaaXcuTN2CtPYOusertime,YbARaaXcuTN2CtPYOeltime,YbARaaXcuTN2CtPYOmem,YpyYJsEyRoOp2hKcwV2systime,YpyYJsEyRoOp2hKcwV2usertime,YpyYJsEyRoOp2hKcwV2eltime,YpyYJsEyRoOp2hKcwV2mem,axUFKgtu8TtJQn7systime,axUFKgtu8TtJQn7usertime,axUFKgtu8TtJQn7eltime,axUFKgtu8TtJQn7mem,rksRXJeCa hyu6vh8systime,rksRXJeCa hyu6vh8usertime,rksRXJeCa hyu6vh8eltime,rksRXJeCa hyu6vh8mem,wUjxwzdkqtAsystime,wUjxwzdkqtAusertime,wUjxwzdkqtAeltime,wUjxwzdkqtAmem,systimetot,usertimetot,eltimetot,memhigh
./0/1/dir_7/8/OHUCgfmb5pvYpUfu.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-22:13:27,13:54:12,14:47:40,116850,17:46:55,25:32.949746,03:11:25,803591,,,,,13-06:19:32,20:21:30,03:11:25,481662,,,,,20:43:33,8-23:17:52,05:08:04,769706,,,,,,,,,37:00.125935,12:52:50,20:43:33,994086,17:46:55,14:43:15,20:48:41,788780,,,,,12-01:41:39,17:23:14,58:56.195050,934121,3.165e+06,1.062e+06,2.478e+05,994086
./0/1/altro_2/4/M2ggnPu2Psu6G4ED6i.PeyAwOa9kBq27EZ35Ebf3gKtv2aEp.log,,,,,,,,,,,,,03:04.955450,16:55.295874,1-19:39:14,973410,,,,,,,,,,,,,,,,,07:14:26,33:35.217584,19-19:05:18,645014,,,,,,,,,47:38.792707,44:28.936399,13-02:55:17,489767,38:06.978712,22:44:35,10:41:26,237007,06:19:13,18-22:46:50,06:40:36,965802,,,,,,,,,04:41:20,16:02.357099,15:27:20,995765,,,,,,,,,01:15:48,06:22:29,47:38.792707,53799,7.558e+04,1.749e+06,3.122e+06,995765
./0/altro_11/YLaVS64MXMyIiUTrtxZFx.log,,,,,,,,,,,,,03:04.955450,16:55.295874,1-19:39:14,973410,,,,,,,,,,,,,,,,,07:14:26,33:35.217584,19-19:05:18,645014,,,,,,,,,47:38.792707,44:28.936399,13-02:55:17,489767,38:06.978712,22:44:35,10:41:26,237007,06:19:13,18-22:46:50,06:40:36,965802,,,,,,,,,04:41:20,16:02.357099,15:27:20,995765,,,,,,,,,01:15:48,06:22:29,47:38.792707,53799,7.558e+04,1.749e+06,3.122e+06,995765
./0/1/dir_7/WNzM8OepYsluw7R.hdFS8FCBD.log,,,,,,,,,27:28.977546,18:32:11,10-00:55:55,463420,,,,,11-06:20:07,20:45:21,15-10:17:06,63010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-02:10:47,13:53:17,2-14:22:06,391112,19-17:58:52,9-20:27:09,14:39:57,343290,,,,,19:37:00,19-16:02:57,7-16:47:04,250225,,,,,6-23:55:11,47:27.609140,9-20:27:09,148723,,,,,3.537e+06,2.745e+06,3.994e+06,463420
./0/1/dir_7/9/zG0lyBwrUAoufHlNIR.log,2-12:04:07,32:46.536597,13-23:09:22,172604,11:57:34,09:03:47,32:46.536597,189633,,,,,,,,,5-05:12:40,38:55.578049,5-05:12:40,899942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:20:29,18-00:03:58,22:03:04,681275,19-21:50:49,14:20:29,42:01.794812,579318,,,,,,,,,,,,,,,,,,,,,,,,,2.482e+06,1.644e+06,1.741e+06,899942
./0/1/dir_7/usyX.qoOlAxD5Qz2eMiaWknUX3W.kEdouW6.log,,,,,,,,,13-11:27:35,36:57.232937,11:12.773249,771594,02:08:00,36:57.232937,48:31.44707,122477,,,,,,,,,02:05:45,15:39.398818,11:12.773249,623940,15:39.398818,13:10:49,23:37:10,889365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:18.16942,7-19:59:59,14:25:32,186684,,,,,1.181e+06,7.296e+05,1.412e+05,889365
./0/altro_11/1.pQyGVS89Z.log,,,,,,,,,,,,,,,,,2-19:40:59,06:58:54,13:31:17,36316,,,,,2-19:40:59,04:36:45,56:38.760140,666955,15:03:06,51:56.465005,23:00:01,20328,,,,,,,,,,,,,6-04:52:25,23:00:01,15-20:02:24,836483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.077e+06,1.277e+05,1.503e+06,836483
./0/1/dir_7/8/pomgrcO4ECJAd2LWi.log,,,,,,,,,,,,,,,,,,,,,,,,,11:50:05,48:08.371471,20:26:51,958665,,,,,,,,,,,,,,,,,,,,,,,,,23:33:04,22:33.806227,3-16:36:46,469078,,,,,19:46:56,05:33:06,20:51:52,669624,,,,,,,,,,,,,35:53.29004,21:41:24,18-16:15:42,190868,2.008e+05,1.023e+05,2.081e+06,958665
./0/altro_11/14/0pVeDnw2b1hQ72snwohl4MUFtbENOxdzWILqBjc.jYr.log,,,,,,,,,,,,,,,,,02:30:30,05:04:36,13-23:19:05,46528,,,,,04:07:53,02:30:30,12:31:17,389442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:21.793599,17-13:55:01,33:48.821162,817783,,,,,2.512e+04,1.546e+06,1.254e+06,817783
./0/1/altro_2/4/axrd9YPO5FeaebfUhufWtdDqIxIR6nHJxg8ts8W1Ma67.log,,,,,,,,,,,,,,,,,5-13:25:10,40:37.469760,3-19:48:37,200022,8-07:17:29,9-06:34:35,16:32:12,566735,,,,,,,,,,,,,,,,,16-04:14:23,7-11:04:40,11-09:53:22,416280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.595e+06,1.448e+06,1.376e+06,566735
./0/1/dir_7/8/fkLFrWfqWMa.o0Uf.log,23:28:26,17-22:42:16,8-10:25:05,83300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:47:27,16-08:04:34,06:23:40,567812,,,,,,,,,,,,,,,,,,,,,01:41:54,52:42.135385,40:07.683905,551969,,,,,,,,,,,,,1.439e+05,2.965e+06,7.541e+05,567812
./0/altro_11/14/wOD.Y6MPyEofmiPgiogwVSh4dnyulqSQy1r50uqsSANPkTV.log,,,,,,,,,,,,,,,,,,,,,,,,,5-07:59:04,21:44.806098,18:58:18,234030,,,,,,,,,20-17:27:57,8-15:06:20,19:17:25,959713,,,,,,,,,,,,,,,,,,,,,03:47:05,20:04.87648,5-07:59:04,368886,,,,,,,,,,,,,,,,,2.265e+06,7.481e+05,5.985e+05,959713
./0/1/altro_2/4/u.558u7W5J5lCodZ9i.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-12:03:40,20-13:27:23,12:31:07,988169,07:11.305357,10:48:50,15-21:17:35,437085,16-11:12:42,13-03:31:12,11:54.604510,569655,,,,,,,,,2.417e+06,2.951e+06,1.418e+06,988169
./0/1/dir_7/9/wftwlmGNEI96fbXUlBVkPQ3qmjPe8LEGiiS1xHvn1ny.log,,,,,,,,,,,,,20:00:38,21:01:38,1-10:57:20,126558,,,,,,,,,,,,,,,,,,,,,20:00:38,15-07:38:51,1-10:57:20,458783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.441e+05,1.399e+06,2.517e+05,458783
./0/altro_11/zKxL9iytUP7g7.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:11:16,4-05:47:45,59:30.31428,152704,,,,,,,,,,,,,2.588e+04,3.665e+05,3.570e+03,152704
./0/1/dir_7/9/q1cOOWQe96gdbDQhXyHcp2ALhXb.mQeOtenZqbv4xmXdobdSC.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:12:13,6-06:53:10,34:41.297612,159440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.753e+04,5.432e+05,2.081e+03,159440
./0/1/altro_2/4/oPZamnWG.WJktv0QnftvjMXs2Bah0T6mKsBOra3dAV.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-19:03:07,25:07.695705,9-17:11:32,466277,,,,,,,,,,,,,,,,,8.462e+05,1.508e+03,8.395e+05,466277
./0/1/altro_2/4/ZtTKnmfSigZ8hySy9IXE48llWMK0qqDyzOBXDxbU.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-06:29:17,57:02.563638,42:37.483373,485528,,,,,1.319e+06,3.423e+03,2.557e+03,485528
./0/1/dir_7/9/2uCW70NW1klb3dJsldpqTKN13IIpl3rpmQ.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:07:57,20:36:31,53:43.781956,596542,,,,,,,,,,,,,,,,,,,,,,,,,6.888e+04,7.419e+04,3.224e+03,596542
./0/1/altro_2/dir_5/10/m4SJjn0KfZz8x.log,,,,,,,,,,,,,,,,,,,,,,,,,12-08:47:23,5-16:47:44,01:38.582852,746690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.068e+06,4.925e+05,9.858e+01,746690
./0/altro_11/iTrHyMCYjr4bAIqUt3UvtXA8EItXpR0W8X.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:02:44,02:07:40,21:45:35,788775,,,,,7.936e+04,7.660e+03,7.834e+04,788775
