Eseguito con opzioni -l ./0/dir_5 ./0/2/dir_7 ./0/dir_1/8/ ./0/21 ./0/12 ./0/2/13 ./0/dir_1/3/dir_10 ./0/2/dir_9/7hayhdda8g0ad4ayok.1ixa.1JSu ./0/2/dir_7/o2j7sg8shyahm1a9azayaaaza1aagar4.qqid.LLJB ./0/2/adddayfn9aydaiga9auagdrh.aaa.log ./0/dir_1/5amafsaaa9gddhukfgw6agr7jwhhoaqfdazadaqn.aaa.log ./0/dir_1/aaada2a9ak8ka9fakaak.aadkfo4gh5.aaa.log ./0/dir_1/3/dir_10/9agyay5aa1g5a.aa8zaa2suajs.qqid ./0/dir_1/3/dir_10/uaaraxj9w9araa5af8d2kaabamgaoaajau12midj6kjyfa.qqid.LLJB ./0/2/6/a54jdgsfd93a.ya32 ./0/dir_1/dir_4/qz2afayfdb.qqid.LLJB ./0/2/13/mayg6agasaa.qqid ./0/2/dir_9/raadbaoaaaaag4ajkakbaasas8ajrsaaaaawksznsaqagay.aaa.log ./0/2/13/wiwk0n94aafuaq.aaa
Filename,41h63nfqq9G8pVGHd0rFsystime,41h63nfqq9G8pVGHd0rFusertime,41h63nfqq9G8pVGHd0rFeltime,41h63nfqq9G8pVGHd0rFmem,4vM8eoRQXSvsystime,4vM8eoRQXSvusertime,4vM8eoRQXSveltime,4vM8eoRQXSvmem,6dHbzhiTX7pWJTRsystime,6dHbzhiTX7pWJTRusertime,6dHbzhiTX7pWJTReltime,6dHbzhiTX7pWJTRmem,98owA3Ynksystime,98owA3Ynkusertime,98owA3Ynkeltime,98owA3Ynkmem,9hnPaIYJji OYLagLdgsystime,9hnPaIYJji OYLagLdgusertime,9hnPaIYJji OYLagLdgeltime,9hnPaIYJji OYLagLdgmem,BLiSoU812YjLqQF8qisystime,BLiSoU812YjLqQF8qiusertime,BLiSoU812YjLqQF8qieltime,BLiSoU812YjLqQF8qimem,HgwhduU systime,HgwhduU usertime,HgwhduU eltime,HgwhduU mem,J8b5 Tx1250l6n3fpGdsystime,J8b5 Tx1250l6n3fpGdusertime,J8b5 Tx1250l6n3fpGdeltime,J8b5 Tx1250l6n3fpGdmem,JudLk5ow0C6dJvsystime,JudLk5ow0C6dJvusertime,JudLk5ow0C6dJveltime,JudLk5ow0C6dJvmem,LNmUacmsystime,LNmUacmusertime,LNmUacmeltime,LNmUacmmem,TZygoDQ5HCu1BQusystime,TZygoDQ5HCu1BQuusertime,TZygoDQ5HCu1BQueltime,TZygoDQ5HCu1BQumem,YHwc4ssystime,YHwc4susertime,YHwc4seltime,YHwc4smem,Z3xc6Uusystime,Z3xc6Uuusertime,Z3xc6Uueltime,Z3xc6Uumem,iG56BlEXGx9asSoWcI4systime,iG56BlEXGx9asSoWcI4usertime,iG56BlEXGx9asSoWcI4eltime,iG56BlEXGx9asSoWcI4mem,jD5oPrvfJ5kfsystime,jD5oPrvfJ5kfusertime,jD5oPrvfJ5kfeltime,jD5oPrvfJ5kfmem,lga52OuWEbzMr4GIRXpHsystime,lga52OuWEbzMr4GIRXpHusertime,lga52OuWEbzMr4GIRXpHeltime,lga52OuWEbzMr4GIRXpHmem,v1OqEpkz2OumLjLVsystime,v1OqEpkz2OumLjLVusertime,v1OqEpkz2OumLjLVeltime,v1OqEpkz2OumLjLVmem,vBy1xr Rjb3systime,vBy1xr Rjb3usertime,vBy1xr Rjb3eltime,vBy1xr Rjb3mem,xEuzuI3hM3cvvfcxu4LAsystime,xEuzuI3hM3cvvfcxu4LAusertime,xEuzuI3hM3cvvfcxu4LAeltime,xEuzuI3hM3cvvfcxu4LAmem,zgJCleOaSAzWwzDUIfMsystime,zgJCleOaSAzWwzDUIfMusertime,zgJCleOaSAzWwzDUIfMeltime,zgJCleOaSAzWwzDUIfMmem,systimetot,usertimetot,eltimetot,memhigh
./0/2/13/RejZahOjiZolNiQXngbqptq3PDaL8p7WSLx.log,3-15:16:00,20:58:23,03:34.520027,887901,03:34.520027,13-06:48:35,40:02.541545,869451,12:50:23,42:27.402124,15:42:52,315317,,,,,,,,,20:34:17,14:01:10,19:48:53,530123,,,,,12:50:23,9-05:57:28,21:28:17,581802,6-04:38:14,01:20:12,48:44.976371,643032,,,,,,,,,,,,,,,,,,,,,,,,,15-22:23:29,15-17:26:24,10:23:19,955505,,,,,,,,,,,,,,,,,2.393e+06,3.439e+06,2.481e+05,955505
./0/dir_5/dhaxa5goar52dfaaaasaoaosoasosq7gq0a1bkhskuu1na3h.a.aaa.log,,,,,,,,,,,,,,,,,19:32:33,18:54.756016,01:14:17,561366,03:06.425710,21:52:57,03:06.425710,355982,,,,,37:50.411447,00:07.289889,18:54.756016,771744,19:32:33,18:12:07,06:32:27,609393,,,,,,,,,,,,,21:52:57,9-07:30:04,37:50.411447,54113,,,,,20:06:34,17:51:24,4-17:43:12,716762,,,,,20-09:30:41,11-01:38:56,13:57:44,647609,,,,,,,,,,,,,2.057e+06,1.971e+06,4.913e+05,771744
./0/2/dir_7/Sm7W6mYuQsZSeGGe8Z3E3.log,,,,,,,,,,,,,,,,,,,,,10:58:28,01:40:21,03:35:43,961460,21:26:34,10:05:52,8-18:35:00,858040,,,,,,,,,10:58:28,21:19:48,16:17.580337,162303,,,,,,,,,,,,,,,,,,,,,18-16:46:23,7-23:14:56,35:01.697061,489917,,,,,,,,,21:12:21,17:00:50,04:10:44,54783,08:43.849457,19:33:58,08:43.849457,681847,1.849e+06,9.393e+05,7.897e+05,961460
./0/12/iSB9H8nEoWOBUh34vgq48C.log,,,,,,,,,18:40:46,11-17:59:41,53:30.202124,385147,,,,,23:39:50,17-11:44:24,23:39:50,616647,17:13:26,00:48:02,44:16.306834,474752,,,,,,,,,,,,,,,,,23:39:50,18-20:50:00,04:21.263061,463113,11:21:51,10:36:48,15:26:11,11302,,,,,07:06:39,7-00:49:55,23:39:50,651719,,,,,,,,,,,,,,,,,,,,,,,,,3.661e+05,4.805e+06,2.321e+05,651719
./0/dir_5/6Ccy6pIvXwPRvROtFD.log,,,,,15:01:24,22:01:10,16:11:41,48538,,,,,,,,,,,,,,,,,15:48:33,22:01:10,11:27.972546,690840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:43:30,28:49.833728,11:19.10356,967727,34:41.69395,15:01:24,10:48.160513,493248,,,,,,,,,1.265e+05,2.144e+05,6.032e+04,967727
./0/dir_1/8/tXP2sgbG3mpJiaB.log,,,,,,,,,,,,,13:36:31,03:36:54,11:55:05,581811,16-22:17:39,04:07:38,39:21.40498,338843,55:55.501546,07:51:44,5-10:39:10,44654,,,,,7-03:10:44,36:43.277074,21:32:42,906177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.131e+06,5.838e+04,5.932e+05,906177
./0/dir_5/6Yx6J9om6OBDLnwNTMwpTIQyWTj1V.log,,,,,,,,,,,,,,,,,,,,,51:42.980239,09:16.272443,16-02:22:50,749129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:07:50,58:46.990551,05:41:10,708672,03:39:42,58:46.990551,58:46.990551,974260,11-10:33:23,7-08:52:35,22:37:43,656643,,,,,,,,,1.048e+06,6.444e+05,1.496e+06,974260
./0/2/13/gfVunkYANP3ckgqsXGxuIs09lK.log,22:58:38,06:27.764302,59:32.931253,403621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55:43.937372,20:29:36,16-12:55:36,830930,17:57:59,9-08:04:36,19-13:58:26,968058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.507e+05,8.808e+05,3.124e+06,968058
./0/dir_5/O37cqK5A8fC8bNOk.log,,,,,,,,,,,,,,,,,,,,,,,,,37:06.74738,18:52.739159,23:09:50,236318,,,,,,,,,04:28.24517,23:11:04,19:20:49,424418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.495e+03,8.460e+04,1.530e+05,424418
./0/2/dir_7/1aagaddabfyxaj9dq.4oaaudakqoaxraa5kaa7.aa9dagq3dd.aaa.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:33.691593,01:42:02,18-20:39:50,25548,,,,,,,,,,,,,6.337e+02,6.122e+03,1.630e+06,25548
./0/dir_5/1jrPlXXyVfOSpE9dL.4KipaBxFLKiSNsh5Fhv7.sw9doIL3XG.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:33.691593,01:42:02,18-20:39:50,25548,,,,,,,,,,,,,6.337e+02,6.122e+03,1.630e+06,25548
./0/dir_5/NJu99Ho8nIjKws.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-07:46:41,13:05:08,12:36:15,45500,1.583e+06,4.711e+04,4.538e+04,45500
./0/2/13/NhyBVpKpgjxpe4jEbibVxsCgW8mQNWjnwsyMbCRTWzLoIhO.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:04.900605,16-00:58:04,17:10:32,190226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.145e+03,1.386e+06,6.183e+04,190226
./0/2/13/B99INIKk1Pk3Kj2M.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-04:12:15,20:15:39,10:48:39,660224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.335e+05,7.294e+04,3.892e+04,660224
./0/2/dir_7/nYEN131RCj57Ckf5zaomZLvu2Ew9pS.log,,,,,23:50:12,13-16:27:24,7-16:27:14,711573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.581e+04,1.182e+06,6.640e+05,711573
TOTALS,3.969e+05,7.589e+04,3.787e+03,887901,1.401e+05,2.409e+06,7.247e+05,869451,1.135e+05,1.018e+06,5.978e+04,385147,4.899e+04,1.301e+04,4.290e+04,581811,1.618e+06,1.527e+06,9.201e+04,616647,1.822e+05,1.670e+05,1.948e+06,961460,1.363e+05,1.168e+05,8.422e+05,858040,6.647e+05,8.013e+05,1.560e+05,906177,6.054e+05,7.034e+04,2.647e+04,643032,4.312e+04,2.340e+05,1.500e+06,830930,1.499e+05,2.437e+06,1.692e+06,968058,4.206e+04,1.424e+06,1.174e+05,190226,6.123e+05,8.775e+05,4.119e+04,660224,2.560e+04,6.078e+05,8.519e+04,651719,7.239e+04,6.428e+04,4.094e+05,716762,3.036e+06,2.051e+06,5.997e+04,955505,1.790e+06,9.738e+05,3.314e+06,974260,9.905e+05,6.908e+05,8.211e+04,656643,7.634e+04,6.125e+04,1.504e+04,54783,1.584e+06,1.175e+05,4.590e+04,681847
