Eseguito con opzioni -l -e 3EX3I ./0/altro_1 ./0/dir_2 ./0/dir_2/5 ./0/altro_1/altro_4/7 ./0/altro_6/9 ./0/dir_2/altro_11/dir_12/ ./0/altro_6 ./0/altro_1/14/rkaajasagiaqaawgdgq.k.y524gjaaadadafaafa3aa96auka.aaa.log ./0/altro_1/3/5f3aa0aaga2rsdsjrqdsbkaaoaka5zk7sdkazfaaagahkaon.aaagf ./0/dir_2/5/13/jbiaoa8ahaddada.aaa ./0/altro_6/altro_101 ./0/altro_6/9/add8faa2aj.3jd3g.3EX3I ./0/dir_2/altro_11/dir_12/aufa0gisfa1.hh.aaa.log ./0/dir_2/5/hayn3asquarsdoaa.aaaf..asw.ak.aaa.log ./0/altro_1/14/az37aa18daf9daaaa0iwdd.nwoairoq04.anr ./0/altro_1/arga1d7fxkyaaadsh2wjaxgbfao..aaa.log ./0/dir_2/5/13/28gfd2aj3a4hj2xa2addasagzs.ddw3d ./0/altro_6/altro_10/2saabbkzaakdy4gjd5jayho9d1faqhd5arf0a4aha.aaagf.rioeY
Filename,1ZRDjDKyqZnk6pAqXSsystime,1ZRDjDKyqZnk6pAqXSusertime,1ZRDjDKyqZnk6pAqXSeltime,1ZRDjDKyqZnk6pAqXSmem,4b4V3ftCfxsystime,4b4V3ftCfxusertime,4b4V3ftCfxeltime,4b4V3ftCfxmem,6kix9Bk2J8BFmLDogPbsystime,6kix9Bk2J8BFmLDogPbusertime,6kix9Bk2J8BFmLDogPbeltime,6kix9Bk2J8BFmLDogPbmem,8ToZRZLnwsystime,8ToZRZLnwusertime,8ToZRZLnweltime,8ToZRZLnwmem,EZtzX xWisystime,EZtzX xWiusertime,EZtzX xWieltime,EZtzX xWimem,Ks8yG1systime,Ks8yG1usertime,Ks8yG1eltime,Ks8yG1mem,QjaiVs8M0xKsystime,QjaiVs8M0xKusertime,QjaiVs8M0xKeltime,QjaiVs8M0xKmem,Tj1Qpdk2Fzsystime,Tj1Qpdk2Fzusertime,Tj1Qpdk2Fzeltime,Tj1Qpdk2Fzmem,WMcpxDnDHX27ksystime,WMcpxDnDHX27kusertime,WMcpxDnDHX27keltime,WMcpxDnDHX27kmem,XOAWjjhvVssystime,XOAWjjhvVsusertime,XOAWjjhvVseltime,XOAWjjhvVsmem,aBS1 KjEsystime,aBS1 KjEusertime,aBS1 KjEeltime,aBS1 KjEmem,bLj3QmbWAeUVsystime,bLj3QmbWAeUVusertime,bLj3QmbWAeUVeltime,bLj3QmbWAeUVmem,dbxlqh d777XGVzGcJsystime,dbxlqh d777XGVzGcJusertime,dbxlqh d777XGVzGcJeltime,dbxlqh d777XGVzGcJmem,ebuySNI2nzDeY8dygIsystime,ebuySNI2nzDeY8dygIusertime,ebuySNI2nzDeY8dygIeltime,ebuySNI2nzDeY8dygImem,h4fJoovthsystime,h4fJoovthusertime,h4fJoovtheltime,h4fJoovthmem,izphJsystime,izphJusertime,izphJeltime,izphJmem,kL7OuphWgRsystime,kL7OuphWgRusertime,kL7OuphWgReltime,kL7OuphWgRmem,ossChA2MVnfksystime,ossChA2MVnfkusertime,ossChA2MVnfkeltime,ossChA2MVnfkmem,ru85Il5IpDG8fesystime,ru85Il5IpDG8feusertime,ru85Il5IpDG8feeltime,ru85Il5IpDG8femem,yD30i9UUYsVftH2systime,yD30i9UUYsVftH2usertime,yD30i9UUYsVftH2eltime,yD30i9UUYsVftH2mem,systimetot,usertimetot,eltimetot,memhigh
./0/altro_6/9/add8faa2aj.3jd3g.3EX3I,,,,,20:55:48,01:46:43,59:07.813567,510059,,,,,,,,,,,,,08:19:01,20:55:48,16-09:47:28,29067,30:01.930544,17:35:14,19-10:17:51,75719,17-04:43:48,41:06.755046,50:57.772726,28556,,,,,19:18:59,03:02:27,19:18:59,643033,,,,,,,,,08:19:01,10:36:36,04:01:18,788659,,,,,9-02:10:02,19:58:31,50:57.772726,176732,,,,,51:09.707758,6-07:19:20,27:25.349497,972387,,,,,,,,,,,,,2.481e+06,8.133e+05,3.192e+06,972387
./0/altro_6/9/xdG8Hik2lQ.3EX3I,,,,,20:55:48,01:46:43,59:07.813567,510059,,,,,,,,,,,,,08:19:01,20:55:48,16-09:47:28,29067,30:01.930544,17:35:14,19-10:17:51,75719,17-04:43:48,41:06.755046,50:57.772726,28556,,,,,19:18:59,03:02:27,19:18:59,643033,,,,,,,,,08:19:01,10:36:36,04:01:18,788659,,,,,9-02:10:02,19:58:31,50:57.772726,176732,,,,,51:09.707758,6-07:19:20,27:25.349497,972387,,,,,,,,,,,,,2.481e+06,8.133e+05,3.192e+06,972387
./0/altro_1/BS5q.UoqCi.3EX3I,22:20:31,8-12:43:31,55:21.856254,444874,,,,,38:48.178582,23:20:59,6-17:37:39,548361,,,,,00:41:24,22:20:31,28:38.595404,808728,,,,,,,,,,,,,42:05.736889,48:44.429372,06:09:54,454468,,,,,,,,,10-09:47:55,04:05:00,11-19:43:59,322092,,,,,,,,,11-19:43:59,18:43:53,33:24.474492,641085,,,,,,,,,48:44.429372,6-17:37:39,04:05:00,765443,06:32:11,42:48.444029,18:43:53,300895,,,,,2.035e+06,1.571e+06,1.715e+06,808728
./0/dir_2/5/13/a.C86FJ0Pfvsz3wyiR1eeDCDP.3EX3I,,,,,23:14:36,21:05:09,05:51:37,51008,01:42:57,32:20.69320,13:10:08,585631,01:52.949353,12-13:42:27,01:52.949353,596337,,,,,,,,,,,,,,,,,,,,,,,,,21:09.27462,05:41.871996,10:35.202397,52689,,,,,20:02:20,15-16:39:00,12-03:52:52,871539,15:53:05,12-13:42:27,23:58:43,398910,,,,,21:02:56,18:55:46,19-19:16:03,299924,,,,,20:37:15,07:53:55,1-14:21:42,118787,,,,,,,,,3.706e+05,3.703e+06,3.055e+06,871539
./0/dir_2/altro_11/GYtqVctDfGJCt1Su6Dewlhkc4vYIDCKtJo59E7.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:17:01,07:35:12,11-18:03:26,394268,10:26:43,56:18.217175,37:09.14043,738840,02:56.749355,11-18:03:26,14:54:19,36623,,,,,12:16:39,04:42:17,02:56.749355,925651,,,,,,,,,,,,,44:45.890807,06:46:19,15-17:17:53,332097,,,,,,,,,15-19:44:07,04:42:17,02:19:30,749701,,,,,1.525e+06,1.104e+06,2.438e+06,925651
./0/dir_2/altro_11/.n3auXSPQoSkEt6ZL.3EX3I,,,,,,,,,50:02.686784,34:46.416939,10-09:05:08,709979,,,,,,,,,12:20:29,1-03:07:14,02:18:14,705023,,,,,,,,,,,,,13:14.925892,14:27:30,42:11.247054,316950,,,,,10:17:45,8-14:47:42,10:33:33,205307,,,,,,,,,,,,,,,,,,,,,15-08:26:34,36:39.632892,12:32:57,167353,,,,,08:25:23,41:28.814639,8-01:51:56,890083,1.442e+06,9.009e+05,1.689e+06,890083
./0/altro_1/14/V04AIDs259hsTAL0ZtrGSG4G4PtO4.3EX3I,,,,,,,,,,,,,30:42.431757,2-13:44:53,12:50.745893,443944,,,,,,,,,,,,,,,,,4-00:52:34,03:07:44,03:53:33,537702,,,,,,,,,15:46:49,22:37:38,36:03.38592,432246,,,,,,,,,,,,,,,,,05:55:44,10:06:03,01:34:29,374316,19:06:01,9-04:39:16,3-08:11:37,605712,,,,,,,,,4.975e+05,1.146e+06,3.113e+05,605712
./0/altro_1/3/R5DIOcw2cN1YbrGEW.3EX3I,,,,,,,,,,,,,58:19.173288,8-17:23:21,6-18:09:21,628215,,,,,,,,,,,,,,,,,,,,,22:49:04,7-23:52:31,17:10:50,375694,,,,,53:08.941774,16-21:50:47,08:10.354735,858922,15:54:30,23:01:17,18:31:40,504490,,,,,,,,,,,,,,,,,18:51:50,08:10.354735,2-08:34:09,582179,,,,,,,,,2.140e+05,2.989e+06,9.165e+05,858922
./0/dir_2/altro_11/dir_12/woXA6BC.zVdleyAnZ8k.3EX3I,,,,,12:31.489081,7-12:32:12,03:20:47,436050,,,,,20-22:39:29,48:54.434460,18-06:03:35,856450,,,,,,,,,,,,,03:11.928003,1-17:16:42,05:19:33,238148,32:16.241481,03:20:47,42:35.52002,649283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:29:44,11:02:50,13:07:06,634721,,,,,,,,,,,,,1.854e+06,8.533e+05,1.658e+06,856450
./0/dir_2/altro_11/dir_12/KLPmKd269trC29z75o5DL3tiuUp.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:39:42,08:09.898702,15:42:02,568984,,,,,,,,,,,,,,,,,24:03.608352,18:16:31,18-02:27:13,675338,,,,,13:53:56,18:57:44,5-09:43:17,967885,,,,,,,,,27:06.111044,14-08:18:47,19:03:40,907652,,,,,,,,,1.023e+05,1.374e+06,2.156e+06,967885
